,max_sharpe,minimum_variance,risk_parity,equal_weight
2018-01-02,-0.028828270871092413,-0.011852709039146429,-0.013931030725926712,-0.014564698047280961
2018-01-03,0.011005353810062339,0.0030536500319718616,0.004789679045536434,0.005081912277118035
2018-01-04,0.006279043026962178,0.008695529268570184,0.007085884412910864,0.006867282190617755
2018-01-05,-0.04338938203191947,-0.022918513688901184,-0.024238727236648237,-0.024563144160174556
2018-01-08,-0.02814017631755962,-0.00932439983919774,-0.014822583220252952,-0.01598269484531898
2018-01-09,5.752562632743777e-05,0.0040971552602621485,0.004896728931999204,0.005270903310118498
2018-01-10,0.012596080279155144,-0.005678207300489908,-0.0037663828779677935,-0.0031289094268358015
2018-01-11,-0.014900941219476917,-0.0037280703146891723,-0.004448477107961249,-0.00473741661593489
2018-01-12,-0.028798184938848326,-0.007039493138777402,-0.010438097514805617,-0.011470537600943445
2018-01-15,0.01888401332522393,0.0028547174778534813,0.0033492130600826626,0.003698937150582763
2018-01-16,0.019543586716318173,0.00017060461334093488,0.004730241519197507,0.005357217907140295
2018-01-17,-0.0006487903911840007,-0.001793171708782757,-0.0016898012510471578,-0.0013351361223302338
2018-01-18,0.0031608508145996544,0.008069245924672501,0.008020632766006269,0.007900033862088762
2018-01-19,0.01454779269381302,-0.0027869464436620466,0.0006847968867343458,0.001538130392269447
2018-01-22,-0.034979516348220975,-0.0098036510813665,-0.01358678242890389,-0.014228584138821054
2018-01-23,-0.016716032630815156,0.0005441149297428617,-0.0022036695350239116,-0.0030332245229521266
2018-01-24,-0.013436808516473954,-0.00945448971604534,-0.010839281377460461,-0.011069636860867241
2018-01-25,0.030475196040164798,0.022633670998605707,0.02428386972351737,0.02448779874154594
2018-01-26,-0.01227789750458497,0.003358729298544048,-7.525836109692962e-05,-0.0009010307382123308
2018-01-29,-0.005859629387585152,0.00031128389054856163,-0.0006269641053145232,-0.0008937774103751068
2018-01-30,-0.002978361683636919,-0.007284174377401926,-0.006678317296370246,-0.007032874732750494
2018-01-31,0.03013563851429486,0.01533039295801018,0.01895181842105101,0.019242710572371813
2018-02-01,-0.010440109975286665,-0.0003213402007427239,-0.002352306635285599,-0.0029585930998125565
2018-02-02,-0.010790776927388647,-0.000439357798625565,-0.001666377193799304,-0.0023225912223495127
2018-02-05,0.012370813229744702,-0.007411835925462346,-0.005341234311617155,-0.004942371446987226
2018-02-06,-0.01787779328882688,0.00460076467306459,-0.000516191093112895,-0.0016100557966618094
2018-02-07,0.010514054186651165,0.00023667145041552685,-0.0021004770995653992,-0.002244712089752243
2018-02-08,-0.0009500345050853813,-0.0030530119807704054,-0.0033113160946526715,-0.0028933903148758064
2018-02-09,0.007478332586134121,-0.0004123039460019809,0.002381906745947153,0.0028772654329513037
2018-02-12,0.02076210234014067,0.01699161057455737,0.01729016764965613,0.0172099562760879
2018-02-13,-0.017717228093713774,-0.0012545326048813382,-0.004422368038769435,-0.005146271158504708
2018-02-14,-0.02122598614014217,-0.010243919142980572,-0.012220651556046517,-0.012597647105459575
2018-02-15,-0.009852712866121698,-0.01160033607280459,-0.013340248471101957,-0.013439302858444394
2018-02-16,0.016720840548791038,0.008296180533254338,0.009401785689302288,0.009357005075467884
2018-02-19,0.014201021405160844,0.013057507079581825,0.01239500654812262,0.012519368369230288
2018-02-20,0.003533060354186798,-0.0001818880483674065,-0.00042025455638615796,-0.00022152040703758247
2018-02-21,5.087780367670712e-05,-0.00562948767581492,-0.004218514451775438,-0.0039466144145099595
2018-02-22,-0.021105716928341855,-0.014956161239647731,-0.016157875893186954,-0.01625967831605072
2018-02-23,0.014735597410500602,0.010298397819922447,0.011439887540874083,0.011334822889652724
2018-02-26,0.015108874256614637,0.012133450636574264,0.012594138786130908,0.012779570198235501
2018-02-27,0.031779253971148815,0.009730086999419104,0.012689634147127652,0.013025679709032047
2018-02-28,-0.002142820316974435,0.0020095036208148467,0.0035744323431689804,0.003989918060671689
2018-03-01,-0.009072679096675655,-0.0009912467801977028,-0.0033540805274863603,-0.004176153096078901
2018-03-02,0.008466002525318282,-0.003969482103130466,-0.0009364252806352042,-0.0005079239812556722
2018-03-05,0.01588620478411485,0.00818174837203429,0.01164187971901307,0.012162508793267558
2018-03-06,-0.0020528035697532344,0.008738533854219289,0.0069857257290127355,0.006438840436579624
2018-03-07,-0.004074640778182241,0.002749099254477797,0.0011703023722505947,0.0006877055897454203
2018-03-08,0.010757158002206224,0.008977431371439377,0.009598038263929827,0.009489343596309669
2018-03-09,-0.008328221626649496,-0.0008744651916948215,-0.0018131185761946418,-0.0019750379322154843
2018-03-12,-0.007325510434464799,0.005801794346509312,0.0025776493836762214,0.0015665176034065737
2018-03-13,0.010194905527324143,0.007506729562796589,0.007572500056660959,0.00792426129294497
2018-03-14,-0.0018387199557167906,-0.007529488039823646,-0.004258157442349,-0.003749215785043132
2018-03-15,-0.0070904063651334665,0.0020545419354385365,0.0008428393999826079,0.0006630257391340892
2018-03-16,-0.02688980910149133,-0.0021129245857851578,-0.006212342933316831,-0.0071339851592914965
2018-03-19,-0.025519365827865594,-0.004365971624818666,-0.006823672078301489,-0.007382902179620972
2018-03-20,-0.01902515248772264,-0.009272071086333843,-0.011816517656116712,-0.012406247306242216
2018-03-21,0.0010197407790553887,0.012484659585372933,0.010880759270347262,0.01050563553967441
2018-03-22,-0.001477369862531462,-0.012996454443134534,-0.010456857783418438,-0.009548391618476629
